sym,price,adv,score,strategy,params,sharpe,maxdd,trades,held
JPM,357.62,2851601064.1540003,22.733956333239497,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.7985573631273513,-0.000713981320955237,1,False
XDV_TO,47.42,1476302.9308333332,22.264876210486758,atr_channel,"{'ema_window': 10, 'k': 1.5}",1.9889023094332907,-0.0723100362670478,37,False
FIE_TO,11.18,1256729.564,21.909140952718477,atr_channel,"{'ema_window': 10, 'k': 2.0}",1.3818173707171517,-0.043078181201847365,29,False
CEW_TO,34.65,2035476.2251666668,19.486216779751977,atr_channel,"{'ema_window': 10, 'k': 2.5}",1.7697471412588373,-0.05642463887824023,22,False
XLB,53.23,578234831.7665,14.807584103887438,bollinger,"{'window': 20, 'n_std': 2.0}",1.4050968214107666,-0.05490947916751743,35,False
VDY_TO,76.97,18152209.089,13.676982639404159,ts_momentum,"{'lookback': 63, 'threshold': 0.02}",1.8588198423042175,-0.0771072042815214,10,False
ZEB_TO,74.37,145270976.60016668,13.405688613103019,atr_channel,"{'ema_window': 30, 'k': 1.5}",1.8441549058655882,-0.09339739784594348,20,False
FFH_TO,2241.47,149406867.298,12.909682752295655,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.567140837408073,-0.057683692022625355,32,False
MRK,148.35,1415885825.9445,12.705445350023709,bollinger,"{'window': 30, 'n_std': 2.0}",1.6448787177982114,-0.07458355594743504,27,False
XLU,42.73,869739155.925,12.692772669365953,bollinger,"{'window': 20, 'n_std': 2.5}",1.2257996597780865,-0.03345978684021966,14,False
VRTX,541.69,741980187.5115833,12.235616706592076,bollinger,"{'window': 20, 'n_std': 2.0}",1.3229587094871849,-0.0473159653899029,17,False
XEI_TO,39.7,7134655.909333332,12.212877473600935,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.1187591014409082,-0.07612094256991653,34,False
KO,89.66,1476805676.8803334,11.94789609694407,bollinger,"{'window': 10, 'n_std': 2.5}",1.0682952932851297,-0.008332768809652169,5,False
SLF_TO,109.62,195547814.6003333,11.864837578415846,bollinger,"{'window': 10, 'n_std': 1.5}",1.2317919289577735,-0.07807687099567773,61,False
CB,339.92,619924305.6455,11.5388648567628,bollinger,"{'window': 20, 'n_std': 2.0}",1.1200997792414777,-0.043844158857946236,22,False
BAM_TO,69.03,105765752.0305,11.092058081225234,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.500044424367151,-0.03284072249589476,7,False
DBC,31.93,28643252.775425,11.078511989693649,bollinger,"{'window': 10, 'n_std': 2.5}",1.1825220816039175,-0.012446146481570275,6,False
WN_TO,97.28,31209709.250166662,11.026681486126487,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.1335710056400266,-0.058729778703375146,33,False
VFV_TO,190.38,51211286.1555,10.912135245906091,atr_channel,"{'ema_window': 30, 'k': 1.5}",1.1563249427678275,-0.08855606585050069,28,False
ALA_TO,52.78,47923419.0605,10.82784347641453,ema_crossover,"{'fast': 20, 'slow': 200}",1.0439996586165938,-0.0994397759103649,0,False
MDY,679.95,470425410.0111667,10.77365276890441,rsi_meanrevert,"{'window': 7, 'oversold': 30}",1.3598647881629446,-0.05483698536268178,28,False
PPL_TO,67.44,165661318.81300002,10.74550363163228,bollinger,"{'window': 10, 'n_std': 2.0}",1.272476332251428,-0.06593042240655422,42,False
XFN_TO,91.94,9713428.067000002,10.692216222455878,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.429733231140004,-0.10099727062324038,27,False
RIO,106.23,262243473.13083333,10.625993195073645,rsi_meanrevert,"{'window': 14, 'oversold': 20}",0.8932035847098085,-0.0017464198393294383,1,False
DOL_TO,175.93,126111263.95116666,10.363369382533802,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.044181524686629,-0.010558946225205701,6,False
RY_TO,284.17,919355577.1925,10.252950549265165,atr_channel,"{'ema_window': 30, 'k': 2.5}",1.1413557186714576,-0.07639394316777093,20,False
VCE_TO,77.22,1836866.7018333338,9.995610609027548,bollinger,"{'window': 20, 'n_std': 2.0}",1.4162914659364403,-0.06248648648648636,24,False
ENB_TO,69.77,579433040.8443334,9.484168383943413,bollinger,"{'window': 15, 'n_std': 2.0}",1.137688721040481,-0.06344515730044542,32,False
MRU_TO,89.4,51048823.516166665,9.430427502809387,bollinger,"{'window': 10, 'n_std': 1.5}",0.9633257302479259,-0.07695412561182091,55,False
XIU_TO,54.05,199074633.58766666,9.389612867817473,bollinger,"{'window': 15, 'n_std': 2.0}",1.1841249567942516,-0.06311576354679793,35,False
ZWB_TO,30.29,5429727.904500001,9.175083241965355,atr_channel,"{'ema_window': 10, 'k': 1.5}",1.1915604613432256,-0.0873855176162166,41,False
MA,581.1,1810289111.4624999,8.964048678029307,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.3306439081284496,-0.04692969188885521,13,False
POW_TO,91.96,190027460.26283333,8.666502750657614,atr_channel,"{'ema_window': 20, 'k': 2.5}",1.3849943664734694,-0.08382155170167604,15,False
XEF_TO,52.09,13376750.78633333,8.653532262665907,macd,"{'fast': 8, 'slow': 21}",0.7797743728974889,-0.09178972797830665,56,False
PG,143.78,1331449196.5725,8.459355460469782,bollinger,"{'window': 15, 'n_std': 2.5}",0.976555187660523,-0.048731744811683186,21,False
XLI,172.73,1263004033.7589998,8.351879109533192,atr_channel,"{'ema_window': 10, 'k': 1.5}",1.0164174674908792,-0.08364058097873994,29,False
XIC_TO,58.47,26328112.462666664,8.323876639936119,bollinger,"{'window': 30, 'n_std': 1.5}",1.1877791745030732,-0.05968019764999477,24,False
CM_TO,159.09,394188828.0994999,8.16433547633216,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.2661561799652188,-0.10400679209707053,32,False
XHB,105.81,269455650.42583334,8.12294759301363,rsi_meanrevert,"{'window': 7, 'oversold': 25}",1.1071195224558852,-0.05594816413393999,20,False
CRT_UN_TO,16.92,4365969.532166666,8.00663479933943,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.084833043109335,-0.02827961739925966,10,False
SJ_TO,69.22,12681857.452666668,7.99248454422887,bollinger,"{'window': 15, 'n_std': 1.5}",0.998299366820795,-0.07432649960672888,41,False
ZCN_TO,48.99,9835367.6125,7.978658863072167,bollinger,"{'window': 15, 'n_std': 2.0}",1.1293188163281749,-0.07236319752026776,37,False
XEG_TO,28.09,55173618.73599999,7.903676493473571,rsi_meanrevert,"{'window': 21, 'oversold': 35}",1.305922674232429,-0.04962610469068662,8,False
ATD_TO,83.35,140787865.48183334,7.730426985647074,bollinger,"{'window': 30, 'n_std': 1.5}",1.1845301295537745,-0.09348641088707754,31,False
XLE,62.68,1728990036.1948333,7.675050664723571,bollinger,"{'window': 10, 'n_std': 1.5}",1.2485698091550403,-0.11027916609453892,62,False
KEL_TO,10.73,5485110.219666665,7.653843879860836,bollinger,"{'window': 10, 'n_std': 1.5}",1.564991825070109,-0.15495160270968522,63,False
GWO_TO,90.28,122669761.40450001,7.578013627931616,bollinger,"{'window': 10, 'n_std': 2.5}",1.0689835627260718,-0.026945801128888225,10,False
FCX,72.47,984694370.86,7.5671572532191975,bollinger,"{'window': 15, 'n_std': 3.0}",1.1048551023066717,-0.013854527461652721,2,False
BNS_TO,128.36,493562203.4656666,7.486456440543206,momentum_breakout,"{'entry_window': 55, 'exit_window': 10}",1.3455900957017297,-0.08842384751024157,15,False
ZWC_TO,22.75,2012247.5021666668,7.373926787877491,bollinger,"{'window': 20, 'n_std': 2.0}",0.9968095720368055,-0.062411941666207005,28,False
VALE,15.095,343472486.3459166,7.366126642302889,bollinger,"{'window': 15, 'n_std': 2.5}",1.1101435751696411,-0.029126213592232997,6,False
ABBV,255.48,1628543200.7229998,7.324199509644706,bollinger,"{'window': 15, 'n_std': 1.5}",1.1859818962473594,-0.09807865682039474,50,False
VTI,375.17,1207254639.251,7.247786482243508,bollinger,"{'window': 15, 'n_std': 2.0}",1.1743917978962632,-0.0796767339828014,31,False
XLF,58.1,1849326310.9506667,7.237226316652145,rsi_meanrevert,"{'window': 7, 'oversold': 30}",1.265352639913252,-0.07478968968888478,36,False
BDT_TO,67.45,19934732.818333335,7.208010059745297,momentum_breakout,"{'entry_window': 20, 'exit_window': 10}",2.018136610716079,-0.1732599056416212,10,False
MO,68.65,601150696.1975,7.181359090521254,rsi_meanrevert,"{'window': 14, 'oversold': 35}",1.057193853481631,-0.06678992373468917,15,False
NA_TO,213.86,299027151.9001667,7.084925628869528,atr_channel,"{'ema_window': 20, 'k': 3.0}",1.0769930639771472,-0.0637223678493044,11,False
XLV,171.16,1618478555.6183333,7.049187219674402,rsi_meanrevert,"{'window': 7, 'oversold': 25}",1.0411502191370214,-0.057593984962405975,22,False
MTY_TO,36.24,3505350.278833334,6.888370334457564,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.0889741557244803,-0.10842895591564305,43,False
L_TO,60.42,81993242.23216668,6.884717623799443,bollinger,"{'window': 20, 'n_std': 2.0}",0.9361245193478133,-0.058009794731536446,24,False
CCL_B_TO,92.71,37566008.76349999,6.87613073255756,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.8212547315366058,-0.07818981692612648,40,False
IWM,295.75,6708061225.395,6.870967857602309,rsi_meanrevert,"{'window': 7, 'oversold': 30}",1.0274426572354065,-0.0650110705869752,32,False
ACB_TO,5.62,2103047.015166667,6.662475780870212,rsi_meanrevert,"{'window': 14, 'oversold': 20}",0.6088787643696931,-0.0039044945301173195,1,False
ETN,402.78,934417108.4465001,6.661413238814734,bollinger,"{'window': 20, 'n_std': 3.0}",0.8855616472021696,-0.01976758116688626,3,False
MS,214.77,1184932709.7723334,6.655253123969295,bollinger,"{'window': 15, 'n_std': 3.0}",1.2305889819716431,-0.02562142280498625,5,False
WCN_TO,232.07,91370138.07016666,6.612926503843313,bollinger,"{'window': 30, 'n_std': 2.5}",0.906907990203201,-0.04748626557030988,13,False
GOOGL,346.59,10863813275.778334,6.603054251050991,bollinger,"{'window': 30, 'n_std': 3.0}",0.9767033530630371,-0.01777277840269964,3,False
TJX,135.12,933755776.7509998,6.591642414718856,dual_ma,"{'fast': 50, 'slow': 200}",0.9488830619352409,-0.20301644795439744,0,False
VOO,707.24,5554766770.1398325,6.581267759216822,bollinger,"{'window': 15, 'n_std': 2.0}",1.0619746059770843,-0.07412840447899871,35,False
CJT_TO,86.42,8021772.1351666665,6.559286884790217,bollinger,"{'window': 15, 'n_std': 3.0}",1.1502259224801683,-0.021517091107177144,3,False
XRE_TO,16.19,4354928.0725,6.552278790904359,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.8744355026620317,-0.06164962295287091,29,False
PM,191.89,934876895.1451666,6.493870418908148,bollinger,"{'window': 15, 'n_std': 2.0}",0.891271852670772,-0.07669151212692182,30,False
BMO_TO,239.23,536685229.028,6.319859371574168,rsi_meanrevert,"{'window': 14, 'oversold': 25}",1.2516022724483047,-0.025582765294959176,5,False
EQB_TO,125.35,14054976.082166666,6.308452953474388,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.9744373365618683,-0.0889768729256909,26,False
ARX_TO,33.33,99337806.19816667,6.298077454771915,rsi_meanrevert,"{'window': 21, 'oversold': 30}",0.9731238331436242,-0.009277155005798288,2,False
OXY,60.95,490204447.1479167,6.277489433932495,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.366350491810546,-0.06748519455172741,13,False
H_TO,53.55,78244945.28133334,6.234766153921964,macd,"{'fast': 8, 'slow': 21}",0.8035425409802064,-0.12489369147962182,63,False
SPY,769.35,38077224185.75783,6.220816539294226,bollinger,"{'window': 15, 'n_std': 2.0}",1.011372578022626,-0.0742405177062736,33,False
XSP_TO,77.41,13223700.635666668,6.179363306095221,bollinger,"{'window': 15, 'n_std': 2.0}",1.0112520047341123,-0.07608922243068594,34,False
COF,215.67,855641676.2051669,6.159151487720762,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.2858205710601887,-0.04917512690355352,12,False
DFY_TO,74.09,13039599.469166666,6.14828551430717,bollinger,"{'window': 10, 'n_std': 2.0}",0.9730178235697726,-0.09408320193019282,26,False
PFE,27.96,1082984255.9568331,6.13419118300396,rsi_meanrevert,"{'window': 14, 'oversold': 25}",1.0720223784605774,-0.04361159152895022,8,False
CNR_TO,175.06,259762048.37949997,6.0684026121369765,bollinger,"{'window': 20, 'n_std': 1.5}",0.9030045437628026,-0.09562117981358242,48,False
ORLY,89.11,685682182.9844167,6.024531602425233,bollinger,"{'window': 10, 'n_std': 2.0}",1.0892060562445964,-0.0915284567014445,32,False
DBA,29.19,29649904.423166666,5.976676220357732,bollinger,"{'window': 30, 'n_std': 1.5}",0.9152883293978129,-0.06846752937712386,31,False
EOG,143.35,462898849.6358333,5.882220872815127,bollinger,"{'window': 10, 'n_std': 1.5}",1.238518562636907,-0.14634948077244248,53,False
LLY,1174.61,3408890385.7226667,5.826049677816055,bollinger,"{'window': 10, 'n_std': 2.0}",1.0945906984834057,-0.1120431126639222,34,False
XLC,110.88,675852991.7548333,5.80302299725714,bollinger,"{'window': 15, 'n_std': 2.0}",1.1148453246669714,-0.085125597354892,24,False
GFL_TO,56.58,43310835.412999995,5.727973615220564,bollinger,"{'window': 15, 'n_std': 2.0}",1.0204774060323563,-0.09683054426466708,24,False
GE,342.58,1504158668.6768336,5.726998505373133,atr_channel,"{'ema_window': 30, 'k': 2.5}",1.5051445141782047,-0.1633413873829903,15,False
QBR_B_TO,61.37,67123166.83483334,5.724227750299793,bollinger,"{'window': 15, 'n_std': 1.5}",0.9435683708731509,-0.09759528097243786,45,False
DE,630.33,727210296.963,5.706617686395776,bollinger,"{'window': 30, 'n_std': 2.5}",1.2450094795213265,-0.06970543094424642,14,False
XLP,85.25,916905369.0551666,5.7022475854665124,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.779245104902039,-0.04796143364809935,20,False
CVX,201.86,1559317136.725,5.6585074016025985,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.9717763057716651,-0.10160701423576035,47,False
CSCO,109.93,2637747647.752667,5.638817245971034,bollinger,"{'window': 10, 'n_std': 1.5}",0.9113175814706144,-0.09643982183359401,55,False
NUE,246.645,394518974.24375004,5.527040702164809,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.363047473083752,-0.0764502164502161,12,False
CPER,40.675,20599036.709250007,5.468653619438127,bollinger,"{'window': 30, 'n_std': 1.5}",1.0547969872719152,-0.08179925146635325,24,False
RUS_TO,72.98,16463726.595499998,5.45798911428864,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.0383710856776316,-0.09824540885021449,43,False
WFC,86.69,1238118856.0571668,5.444334945315836,rsi_meanrevert,"{'window': 21, 'oversold': 35}",1.3204432153006538,-0.07811704834605593,10,False
XQQ_TO,70.86,14224787.692,5.438934592042794,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.7883512966282656,-0.09071168782758321,33,False
DIA,534.36,2220464155.5195,5.436926547437706,ts_momentum,"{'lookback': 126, 'threshold': 0.0}",0.7585517238245496,-0.10996844919682214,17,False
X_TO,53.91,44886738.9555,5.433768834608031,bollinger,"{'window': 15, 'n_std': 2.5}",0.8696225998347662,-0.05031321792382315,12,False
CNQ_TO,68.14,849333845.5158333,5.407326702567479,rsi_meanrevert,"{'window': 7, 'oversold': 25}",1.2151011616966585,-0.0716208583182133,23,False
PSK_TO,36.19,13824606.1465,5.327780496276038,bollinger,"{'window': 10, 'n_std': 1.5}",0.8293467110050815,-0.09692513368983946,59,False
TIH_TO,203.49,66498824.39433333,5.32694187710642,bollinger,"{'window': 15, 'n_std': 2.5}",0.7921116364391745,-0.06372464470499328,17,False
BTO_TO,7.85,30217802.03683334,5.316332844511614,rsi_meanrevert,"{'window': 7, 'oversold': 25}",1.418244727086286,-0.15831134564643767,27,False
ONEX_TO,116.91,12363740.748333333,5.213409970848489,bollinger,"{'window': 15, 'n_std': 2.0}",0.9748530347453286,-0.10913691732942976,35,False
QQQ,716.43,30316877542.04434,5.199165684023908,atr_channel,"{'ema_window': 20, 'k': 2.0}",0.8302858014499023,-0.09936328257228932,25,False
TXRH,203.145,186578946.22041664,5.188804097703235,bollinger,"{'window': 15, 'n_std': 1.5}",0.85850155145249,-0.1160861477209324,43,False
CAR_UN_TO,33.33,14155441.205,5.159272873404605,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.867242253541887,-0.07172625575784164,22,False
FXF,109.82,4527008.740268334,5.139259765655829,bollinger,"{'window': 10, 'n_std': 2.5}",1.0231117831984287,-0.004615239709899188,4,False
BHC_TO,9.22,5286504.076833334,5.128728844074175,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.1210164337046384,-0.17170622629038912,41,False
V,372.67,2763899515.199333,5.100741727980616,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.8568371667535741,-0.030761638516110024,6,False
ITB,97.51,205952987.04349998,5.093063863780681,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.9109135534213557,-0.0694819108668141,18,False
IGM_TO,87.81,36383937.36616667,5.089215214511779,ts_momentum,"{'lookback': 126, 'threshold': 0.0}",1.1972571987553624,-0.18546521846462116,22,False
IMO_TO,181.34,119203989.76449998,5.032780790867618,rsi_meanrevert,"{'window': 21, 'oversold': 35}",1.4010511027623778,-0.0649885369867339,8,False
USO,134.64,776728579.2998332,5.02197382233316,rsi_meanrevert,"{'window': 7, 'oversold': 35}",1.0727797764964706,-0.0987268912842646,40,False
NVDA,217.55,28662089437.74433,4.94733301248301,atr_channel,"{'ema_window': 20, 'k': 2.0}",1.2433730311244489,-0.22102150319489855,26,False
SRU_UN_TO,27.8,9219626.552666666,4.933085947505753,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.874913184901567,-0.06404140069718978,26,False
AVGO,368.79,9722909599.761835,4.9170957282015255,bollinger,"{'window': 15, 'n_std': 1.5}",1.1054747839346528,-0.12364901996702693,37,False
DSG_TO,106.97,32804054.979,4.892237838515505,bollinger,"{'window': 20, 'n_std': 3.0}",1.0711515085123058,-0.04289951711796758,6,False
BAC,62.32,1973035848.4856668,4.842969355584037,rsi_meanrevert,"{'window': 14, 'oversold': 25}",1.2891668277719923,-0.049817237743275955,7,False
UUP,27.95,53945816.517076656,4.841130391276486,bollinger,"{'window': 30, 'n_std': 3.0}",0.5741246783172868,-0.028561596696489833,10,False
NOK,10.17,1143078398.9326668,4.834700479623601,bollinger,"{'window': 10, 'n_std': 2.5}",1.0557054591713209,-0.04739336492891022,7,False
EMA_TO,70.35,80767519.33133334,4.791424949032142,bollinger,"{'window': 15, 'n_std': 3.0}",0.8517450487285617,-0.009136641086707864,3,False
TVE_TO,13.41,22247820.362166665,4.7763240146970505,bollinger,"{'window': 10, 'n_std': 1.5}",1.2573108356797336,-0.15459084945162382,48,False
SMH,573.0,6561596075.5735,4.730796981418345,atr_channel,"{'ema_window': 10, 'k': 2.5}",0.9648040451497094,-0.09236817798994534,18,False
IFC_TO,269.08,127987650.92933331,4.642145789850478,bollinger,"{'window': 10, 'n_std': 2.0}",1.0621542906632604,-0.11405984893532517,32,False
MPC,368.83,705317150.4686666,4.5997421121316115,macd,"{'fast': 8, 'slow': 21}",1.1716479667573076,-0.22018301877106738,57,False
AMZN,266.43,12202191762.556065,4.579072492797887,bollinger,"{'window': 10, 'n_std': 2.5}",0.8334782648988815,-0.06135406637413254,8,False
TXN,258.64,2371906143.2809997,4.573082147485246,bollinger,"{'window': 30, 'n_std': 2.0}",0.9691075781981436,-0.11337256446804156,25,False
LMT,563.85,652251902.0236667,4.513186355103791,bollinger,"{'window': 15, 'n_std': 2.0}",0.9640243810973402,-0.09858476135041228,28,False
OVV_TO,89.54,16091910.222833334,4.507568647803597,bollinger,"{'window': 10, 'n_std': 1.5}",1.2103821198595874,-0.17936913081048533,58,False
EMR,155.18,404838746.9363334,4.504480092200175,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.8765064246327873,-0.0801355299260712,14,False
ZTS,77.34,494312070.18016666,4.454261348587469,bollinger,"{'window': 20, 'n_std': 2.5}",0.8888591550333816,-0.0764989045098039,15,False
WPM_TO,213.27,142029639.69066665,4.426896323940409,bollinger,"{'window': 15, 'n_std': 2.0}",1.1243243175299942,-0.14055300699378148,35,False
OBE_TO,15.85,4850589.664,4.398118946397146,bollinger,"{'window': 20, 'n_std': 3.0}",0.9092548157347506,-0.010320211826987169,2,False
XMA_TO,50.29,6297983.296833335,4.395560790001652,bollinger,"{'window': 30, 'n_std': 1.5}",0.9571416903000386,-0.12086311213988732,33,False
XLY,118.07,870925869.5158331,4.391617882687923,bollinger,"{'window': 15, 'n_std': 3.0}",0.9421676670091869,-0.00773470839260304,3,False
C,132.9,1623836546.2158334,4.365859979774261,rsi_meanrevert,"{'window': 7, 'oversold': 30}",0.9318135092901796,-0.12377161224214617,34,False
ZEO_TO,110.46,2459323.0988333332,4.350157437818448,bollinger,"{'window': 15, 'n_std': 2.0}",1.0610519135785206,-0.11700073838997138,31,False
GS,1033.99,2207957981.346667,4.337072589311193,rsi_meanrevert,"{'window': 14, 'oversold': 30}",1.1725587575692125,-0.07897830161705321,11,False
TRP_TO,86.02,359267986.0173333,4.306780256369906,bollinger,"{'window': 30, 'n_std': 2.0}",0.9229137382688283,-0.09051375774069248,22,False
DIR_UN_TO,13.86,7257299.622,4.270787691470959,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.8889300288305411,-0.05647943064270322,13,False
EIF_TO,121.64,20637486.066,4.259691404913011,bollinger,"{'window': 20, 'n_std': 2.0}",0.730448097145899,-0.07777436332124299,21,False
COP,130.35,825817859.3728333,4.220095129666843,bollinger,"{'window': 20, 'n_std': 1.5}",0.9905926107391892,-0.1468910654941029,36,False
RS,387.59,144785306.16566667,4.201780611983601,bollinger,"{'window': 30, 'n_std': 2.0}",0.7975729371902048,-0.07914379313730446,16,False
NWC_TO,48.85,5969848.744666667,4.1960776567003055,bollinger,"{'window': 15, 'n_std': 1.5}",0.729958542550498,-0.11852116712087246,46,False
LUG_TO,105.27,52993243.77599999,4.139311755520292,bollinger,"{'window': 20, 'n_std': 1.5}",1.1331974540281295,-0.14804370096526986,34,False
PGR,218.64,641757488.8488333,4.119014155035152,ts_momentum,"{'lookback': 63, 'threshold': 0.02}",0.9312179035353086,-0.15966322607870376,21,False
CPX_TO,64.71,42855088.44033333,4.039999219395363,bollinger,"{'window': 15, 'n_std': 1.5}",1.1402154353159129,-0.16707891672483488,41,False
WMT,103.09,2750672806.4934998,4.038642925131778,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.8938815602558694,-0.08038560926389104,23,False
WCP_TO,17.85,86455881.9205,4.03778640912927,bollinger,"{'window': 15, 'n_std': 1.5}",1.1256916882404395,-0.1794976554714891,47,False
BEPC_TO,45.86,16164780.486666666,4.013872225232113,bollinger,"{'window': 20, 'n_std': 3.0}",1.1452402209909294,-0.04503816793893123,5,False
RUM,9.38,26064203.005083334,3.9961499382783696,bollinger,"{'window': 30, 'n_std': 3.0}",0.8551915116636731,-0.03996639339905139,2,False
QSR_TO,111.11,105159374.60633333,3.9864800404783285,macd,"{'fast': 16, 'slow': 34}",0.6433246437049729,-0.1541332307364014,40,False
TD_TO,168.61,815356992.3303334,3.9851124148893087,bollinger,"{'window': 30, 'n_std': 1.5}",0.7901031551859518,-0.10230954792696312,25,False
XOM,156.71,2331800843.2805,3.9381185840369204,bollinger,"{'window': 10, 'n_std': 1.5}",0.7656539389544001,-0.12984054907560139,60,False
KEY_TO,59.36,79828058.58450001,3.928669343272767,bollinger,"{'window': 15, 'n_std': 2.0}",1.0133562810768955,-0.12875325680284566,33,False
TXG_TO,68.41,35238220.95516667,3.8882423444634537,rsi_meanrevert,"{'window': 7, 'oversold': 20}",1.025761816823645,-0.08948087431693985,14,False
HWX_TO,14.18,7597828.922666667,3.872666197377309,bollinger,"{'window': 20, 'n_std': 1.5}",0.9885521781338097,-0.13547693925884685,33,False
CAE_TO,34.32,32159044.74416667,3.8627322906214756,rsi_meanrevert,"{'window': 14, 'oversold': 35}",1.0745159417374328,-0.1310273222598748,20,False
HPS_A_TO,236.1,20225973.856500003,3.83394535590535,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.3658521155908043,-0.25765741519941454,28,False
FTT_TO,91.61,47413922.63966666,3.8326820222704323,atr_channel,"{'ema_window': 20, 'k': 1.5}",1.098387948758183,-0.19033718639365238,22,False
REI_UN_TO,20.94,14208570.384499999,3.8128914065049173,bollinger,"{'window': 10, 'n_std': 2.5}",1.0156907374514772,-0.02824514932266342,7,False
XLRE,44.04,232614056.5998334,3.8098621619857362,bollinger,"{'window': 30, 'n_std': 3.0}",1.032407725627558,-0.0430545959210874,7,False
MNT_TO,67.81,1396495.5875,3.808475242946906,macd,"{'fast': 16, 'slow': 26}",0.7910093683189596,-0.16618115540362588,52,False
BN_TO,55.21,170246884.10383332,3.8063774422389978,rsi_meanrevert,"{'window': 21, 'oversold': 30}",1.1701635362706018,-0.019305975073313775,2,False
XEM_TO,51.1,2507217.244833333,3.7806977887552136,bollinger,"{'window': 15, 'n_std': 2.0}",0.7520310308627369,-0.11049851355475848,32,False
ES,70.21,183343860.21616668,3.7731791932119956,bollinger,"{'window': 15, 'n_std': 2.5}",0.8159163711840133,-0.07813611678644361,16,False
SAP,216.01,516819691.3818333,3.7674571940622834,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",1.0185546532039085,-0.19712695439586247,18,False
AGI_TO,51.12,67843984.11299999,3.752830358484762,bollinger,"{'window': 20, 'n_std': 2.0}",0.9399192032713074,-0.11971778744461026,23,False
CCO_TO,148.99,141226207.85983333,3.7285468219336457,macd,"{'fast': 8, 'slow': 34}",1.0487014073931609,-0.29107399967119985,62,False
CAT,800.25,2918390635.477667,3.7190460429795666,macd,"{'fast': 8, 'slow': 26}",1.0035669014563804,-0.25746119321337835,66,False
VZ,50.1,1229743434.549,3.7153706259910533,bollinger,"{'window': 15, 'n_std': 2.5}",0.6882162899181048,-0.07695299551562385,20,False
GEI_TO,31.02,20643205.992000002,3.69809028053562,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.9969295975508481,-0.09136420525657074,18,False
CSU_TO,3163.56,184255870.51166666,3.6965838491609437,ts_momentum,"{'lookback': 126, 'threshold': 0.0}",0.933815094844839,-0.1467439997451564,10,False
SLB,57.33,670187268.5289999,3.6827176756268885,bollinger,"{'window': 15, 'n_std': 1.5}",1.0288115125885358,-0.16696925864644319,44,False
FRU_TO,17.84,9877802.012666667,3.659926372763908,bollinger,"{'window': 15, 'n_std': 1.5}",1.1055768832173947,-0.14733132255669845,39,False
NSC,348.68,378400234.39449996,3.6539983257815996,bollinger,"{'window': 10, 'n_std': 2.0}",0.8689793251007828,-0.13447251692190643,35,False
COST,945.47,2084322518.0904164,3.606267385881973,atr_channel,"{'ema_window': 20, 'k': 1.5}",0.7689911013634847,-0.13579227152740536,28,False
STLD,229.46,310666864.4016667,3.5829479643538273,bollinger,"{'window': 20, 'n_std': 2.0}",1.0074212656466148,-0.1489602331792309,24,False
MSFT,513.53,15823343206.700834,3.580477618814975,bollinger,"{'window': 10, 'n_std': 2.0}",0.6808804930340593,-0.09356835391334373,35,False
TMUS,181.37,938658399.3783332,3.5769121656086265,bollinger,"{'window': 15, 'n_std': 2.0}",0.767853388915902,-0.11178551319116847,34,False
AMGN,432.42,1028840338.2084165,3.5407513225597422,macd,"{'fast': 16, 'slow': 34}",0.8798126299958916,-0.22687625562352232,38,False
ARE_TO,43.45,21059309.565333333,3.535027177985294,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",1.2597664053317914,-0.25417766051011415,16,False
ELF,105.43,223393612.3536667,3.5333498325208685,atr_channel,"{'ema_window': 20, 'k': 2.5}",1.1930300602784378,-0.20786446207433018,15,False
