sym,price,adv,score,strategy,params,sharpe,maxdd,trades,held
HD,330.19,1442638278.1353335,2.058159719337249,bollinger,"{'window': 10, 'n_std': 2.5}",0.7836931840018686,-0.03878092129773514,5,False
GILD,145.68,984173797.5953331,2.018288468254072,ts_momentum,"{'lookback': 126, 'threshold': 0.0}",0.6261825835911528,-0.22028241335044907,14,False
PDD,87.515,612057653.1114999,2.0092029612827913,bollinger,"{'window': 10, 'n_std': 2.5}",0.7950344069192289,-0.11535085710322379,13,False
RIG,5.6793,208001954.25339332,2.0027021191693,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.8774971896909693,-0.13287104224359825,14,False
ATZ_TO,132.19,107685535.07566667,1.9969600542988772,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.6609293290067578,-0.3114894584074994,24,False
T_TO,13.46,138832791.69400004,1.9854075234947912,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.5679082385136397,-0.08027430415490111,10,False
APP,304.5,2592782991.7458334,1.9773953251507073,atr_channel,"{'ema_window': 30, 'k': 1.5}",1.1198632339620103,-0.4665156266180719,22,False
NXE_TO,14.44,21298071.5255,1.9762216030944242,bollinger,"{'window': 15, 'n_std': 2.0}",1.131387159715169,-0.3211469742797527,31,False
PXT_TO,27.88,22841746.5145,1.9705405197856039,bollinger,"{'window': 20, 'n_std': 2.0}",1.0267980216308379,-0.2783480335500137,34,False
HL,21.09,578673858.1063333,1.9673350580693183,bollinger,"{'window': 10, 'n_std': 2.5}",0.7580936660584414,-0.1113684658416848,11,False
FXY,57.61,13872599.42666667,1.9443179985439962,momentum_breakout,"{'entry_window': 40, 'exit_window': 10}",0.39564472860851646,-0.07089146147732195,8,False
LOW,208.05,649436680.8106668,1.9389589956349418,atr_channel,"{'ema_window': 20, 'k': 2.0}",0.7014336010475032,-0.1782867704659974,15,False
ORCL,150.85,4760116759.509167,1.9371811194834416,bollinger,"{'window': 30, 'n_std': 3.0}",0.9778233077920366,-0.03021560522204947,3,False
K_TO,44.83,129556012.18183334,1.9335069768406197,ts_momentum,"{'lookback': 126, 'threshold': 0.02}",0.9661838412801511,-0.32933953537456817,15,False
AA,50.9,295712041.9788333,1.9320074389123525,bollinger,"{'window': 15, 'n_std': 2.0}",1.067931777321122,-0.30059848212071094,28,False
PRL_TO,24.9,4832711.7129999995,1.9200882380691104,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.761011434194731,-0.35164952753851153,26,False
BA,209.82,1251780554.0763335,1.9199845513270906,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.6811383014231347,-0.23484099460370544,34,False
ZJG_TO,28.41,4289492.319833333,1.9132851253501497,bollinger,"{'window': 10, 'n_std': 2.0}",0.9499113684501403,-0.26068172035417314,33,False
MP,59.525,319889251.8905,1.9063138442896972,bollinger,"{'window': 10, 'n_std': 2.0}",0.7581103239364194,-0.20017758593935997,31,False
BABA,118.72,1455144848.9138336,1.9021821725030277,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.9350492104782075,-0.1258227703025424,7,False
CHWY,24.435,180483745.64025,1.8924433866111232,bollinger,"{'window': 10, 'n_std': 2.5}",0.9506797103055609,-0.041968405999909586,4,False
HON,217.43,762705097.8125,1.8873209962952322,macd,"{'fast': 12, 'slow': 26}",0.5344475991254017,-0.24009526338618292,49,False
AC_TO,27.64,66074351.35066667,1.886843758067906,macd,"{'fast': 8, 'slow': 34}",0.6297165889890303,-0.40365041622124975,65,False
GDX,104.845,1924238491.7760835,1.8832786166165034,rsi_meanrevert,"{'window': 14, 'oversold': 30}",0.8071546058654948,-0.09184629803186561,8,False
ENGH_TO,17.23,2743278.919333333,1.8815365059524831,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.6336104365389805,-0.14438241104306493,29,False
