sym,price,adv,score,strategy,params,sharpe,maxdd,trades
DCBO_TO,35.67,1736814.3048333335,1.014724221545928,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.5126111710454163,-0.16425965790991492,16
GOOS_TO,11.48,2123466.062166666,0.9933027139585567,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.7809777530786631,-0.06466354560346776,3
PET_TO,18.64,4310336.182666668,0.9928616255027793,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.35577064201178826,-0.13712878339306034,15
LSPD_TO,14.74,9366091.168499999,0.9912641064910386,atr_channel,"{'ema_window': 10, 'k': 2.5}",0.6126973291842511,-0.24598079585597776,15
DNN,3.775,79173408.96683334,0.988180967476533,bollinger,"{'window': 20, 'n_std': 2.0}",0.6204854248079132,-0.28101286075475995,21
OPEN,3.46,253537115.09333336,0.9798332393442784,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.7529475139485505,-0.5082004795874795,21
BCE_TO,32.56,136665273.81966668,0.9762537840210483,rsi_meanrevert,"{'window': 21, 'oversold': 35}",0.3397346982100928,-0.13663868826859227,12
OTEX_TO,34.86,45395403.41683333,0.9654276353322166,atr_channel,"{'ema_window': 10, 'k': 3.0}",0.6122328482016431,-0.04364441025053967,3
CIFR,16.0,621996422.7019584,0.9417038699762112,ts_momentum,"{'lookback': 189, 'threshold': 0.0}",0.6092278838684795,-0.6703305408681212,27
MARA,11.5001,559727332.317335,0.9044213072403121,macd,"{'fast': 16, 'slow': 26}",0.6828572925979789,-0.7848083293516557,35
GLOB,39.645,69897867.76941667,0.8889506258625691,bollinger,"{'window': 15, 'n_std': 2.0}",0.6124863470776344,-0.37933720715610275,36
DML_TO,5.18,13703320.431333331,0.8865881954295858,bollinger,"{'window': 20, 'n_std': 2.0}",0.533482696434219,-0.289295939355376,21
NKE,39.6,1043652690.6666665,0.8721015414675528,bollinger,"{'window': 15, 'n_std': 3.0}",0.6271763973417029,-0.07398885305243019,5
RBLX,38.44,524170135.9105,0.8681596499924186,atr_channel,"{'ema_window': 20, 'k': 2.5}",0.729810577065838,-0.3426199941676963,12
CORN,19.53,6395136.507333333,0.8642637749239368,momentum_breakout,"{'entry_window': 20, 'exit_window': 10}",0.4123437519438991,-0.29082729495086257,15
PAGS,8.755,26987974.89606834,0.8405050480024954,rsi_meanrevert,"{'window': 7, 'oversold': 20}",0.5045258033632058,-0.19004762083243731,10
TOST,36.59,333499956.306,0.7557064575423582,bollinger,"{'window': 10, 'n_std': 2.0}",0.5011560146910928,-0.34128317097749417,29
SPB_TO,7.19,4289278.402833334,0.751952957441133,bollinger,"{'window': 15, 'n_std': 1.5}",0.4836122175869621,-0.3980064609644943,55
WEAT,25.5699,11928906.419533333,0.7302019479955104,bollinger,"{'window': 10, 'n_std': 2.0}",0.25241329540014673,-0.17581055795417388,36
JOBY,7.226055,332676991.1889255,0.7269572871314639,bollinger,"{'window': 30, 'n_std': 2.5}",0.46172670565688956,-0.20008168021776707,9
PINS,23.355,311304327.9971666,0.7223687481441732,bollinger,"{'window': 15, 'n_std': 1.5}",0.46985472710854037,-0.43151572476104194,41
WELL_TO,4.53,6331750.2793333335,0.696045879748162,macd,"{'fast': 16, 'slow': 34}",0.35628083762534984,-0.43786410102058604,38
PSNY,12.12,2252751.481333333,0.5441060514737802,bollinger,"{'window': 10, 'n_std': 2.0}",0.43791984171619136,-0.48782207952605994,29
CHPT,5.85,3772138.070833334,0.5233634040057542,bollinger,"{'window': 20, 'n_std': 2.5}",0.5133766677602776,-0.4478445097313455,17
SNAP,5.71,206803142.98033333,0.5131779165158818,bollinger,"{'window': 30, 'n_std': 3.0}",0.5270321102444918,-0.2355584082156612,9
IQ,1.005,7261219.6015,0.4861183403311581,bollinger,"{'window': 30, 'n_std': 1.5}",0.3001775783323878,-0.554582858734378,33
UNG,10.1479,81095971.63780832,0.4702708338794822,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.30277091672861683,-0.30283242736718075,16
LU,1.345,1464702.6900000002,0.4646918323534866,macd,"{'fast': 12, 'slow': 21}",0.3384209134468992,-0.7128936812771001,45
PATH,16.4399,845215355.7230533,0.4316206069549551,bollinger,"{'window': 15, 'n_std': 3.0}",0.5035302031377179,-0.0808163265306121,2
DNA,7.285,10124498.554833334,0.420215243074171,bollinger,"{'window': 15, 'n_std': 2.5}",0.479467141690948,-0.15887951546614765,5
LCID,4.945,102944097.00677332,0.40282849443684776,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.3214658806735586,-0.46372998403848864,22
PLUG,2.27,139156491.23366666,0.3841924737470876,atr_channel,"{'ema_window': 10, 'k': 3.0}",0.5155597504582965,-0.42834353931679436,9
TLRY_TO,6.37,3288085.7398333335,0.3058341028985759,bollinger,"{'window': 10, 'n_std': 2.0}",0.18934557652591016,-0.41667631216069223,33
