sym,price,adv,vol,bars
SMCI,38.18,1921620341.5433335,1.1801660256981625,1254
T,26.01,1419684188.1796663,0.29334746826442176,1506
SOFI,18.845,1305509463.0454168,0.5641304867555932,1254
NOK,10.17,1143078398.9326668,0.6962020814291259,1254
PFE,27.96,1082984255.9568331,0.22581603330637362,1506
NU,14.795,1054962251.3831667,0.42815728057462554,1181
NKE,39.6,1043652690.6666665,0.3436619259991733,1506
XLU,42.73,869739155.925,0.1470611938116742,1506
PATH,16.4399,845215355.7230533,0.5804416810723845,1254
CMCSA,27.06,803145991.5112498,0.3403587540129339,1255
F,13.885,720082964.7520002,0.3098227622194709,502
WULF,16.1291,682009813.9985634,0.9238606920640563,1179
CDE,21.295,648749014.3488333,0.7605226953355022,502
CIFR,16.0,621996422.7019584,1.2853811649618234,1253
HL,21.09,578673858.1063333,0.700821237713371,1254
MARA,11.5001,559727332.317335,0.9356699527780068,1254
RBLX,38.44,524170135.9105,0.8239455177430424,1254
RIOT,21.09,418440410.12266666,0.9198300905658662,502
VALE,15.095,343472486.3459166,0.33054498376811864,1254
TOST,36.59,333499956.306,0.40442535553679676,1236
JOBY,7.226055,332676991.1889255,0.7051884184384107,1254
CLSK,12.41,313838245.6125,0.9308564089422625,1253
PINS,23.355,311304327.9971666,0.4694074775070294,1254
DKNG,25.9249,309589211.32120997,0.588851662438557,1254
CELH,35.2659,298230540.49337,0.7182167212998586,1254
ENPH,37.525,259476451.8035,0.8009865667878674,1254
OPEN,3.46,253537115.09333336,0.7442775391366911,1254
JD,29.17,244546450.93258333,0.31035739391979134,1254
CLF,11.425,243055975.33991665,0.7104986200868054,1254
KGC,32.715,220595463.5346667,0.5649226893723637,502
CVE_TO,43.91,218028536.6673333,0.3944672629434833,1505
ACHR,5.99,217645148.65200004,0.9135153096310566,1240
ONON,28.815,211778621.35875,0.5686194417381314,1241
RIG,5.6793,208001954.25339332,0.44069886904609423,1254
SNAP,5.71,206803142.98033333,0.6399870119488597,1254
SOUN,7.005,205870789.1129333,0.6837544781894039,1086
CHWY,24.435,180483745.64025,0.4648014658986916,1254
GRAB,3.555,164716190.83125004,0.38686881192567935,1187
BTDR,10.965,156493768.89016667,1.1411219812864914,845
PLUG,2.27,139156491.23366666,0.6311555884008636,1254
T_TO,13.46,138832791.69400004,0.32468666293767207,1505
BCE_TO,32.56,136665273.81966668,0.2310888642102614,1505
NIO,4.445,129651575.77416666,0.36701726415414276,1254
K_TO,44.83,129556012.18183334,0.5545287494086897,1504
UUUU,15.91,120773693.705,0.7794911637741286,1254
SILJ,32.59,115201535.34016663,0.5978171144213872,502
SONY,23.895,113793982.66549997,0.3164135169830592,1254
UEC,13.28,106088792.96383335,0.8162879810083372,1254
LCID,4.945,102944097.00677332,1.2298616116514276,1254
ARX_TO,33.33,99337806.19816667,0.17922347253849977,1505
BBAI,3.085,95481861.238,0.6240230645992568,1183
LUN_TO,38.09,88574112.13183331,0.5745301232121616,1504
WCP_TO,17.85,86455881.9205,0.3208868114366934,1505
AMPX,10.1368,86210210.01809336,0.8941083188614655,990
HBM_TO,41.57,83306518.6725,0.7084269616445408,1504
UNG,10.1479,81095971.63780832,0.32569400085718153,1254
DNN,3.775,79173408.96683334,0.6252153644311226,1254
BB_TO,10.65,71356432.89966665,0.7482030738851639,1254
GLOB,39.645,69897867.76941667,0.6588123694794347,1254
AC_TO,27.64,66074351.35066667,0.4360701708566976,1505
EQX_TO,18.88,65767323.79550001,0.6246930922308789,1504
MDA_TO,40.11,59524149.11766668,0.6933432421469967,576
XEG_TO,28.09,55173618.73599999,0.2856558728017882,1504
UUP,27.95,53945816.517076656,0.051754504068017015,1254
CS_TO,16.3,47048735.57916667,0.612411171936639,1504
OTEX_TO,34.86,45395403.41683333,0.4137319998933708,1505
STNE,9.695,45387762.419416666,0.38159632443194785,1254
IVN_TO,12.47,43682167.78733334,0.589581824572922,1254
IMG_TO,29.86,40552722.01133333,0.6641775091100255,1504
TA_TO,17.3,40315583.68666666,0.4003980525377446,1505
DLO,15.325,36065497.29641667,0.45974483657568277,1254
SAP_TO,40.43,35329944.73466667,0.28699205565515623,1505
OGC_TO,42.61,34111282.51533333,0.5569430191715278,1504
CAE_TO,34.32,32159044.74416667,0.29840928119060084,1254
EFN_TO,26.17,30353004.9365,0.3169631313957893,1505
BTO_TO,7.85,30217802.03683334,0.6852039056679134,1505
DBA,29.19,29649904.423166666,0.13048619377556603,1506
DBC,31.26,27474734.030758332,0.2211634405786213,1255
U_UN_TO,29.09,27289324.42150001,0.296730599990551,1282
PAGS,8.755,26987974.89606834,0.29693205549075385,1254
RUM,9.38,26064203.005083334,0.7803426016116695,988
BTE_TO,6.58,24538966.119666673,0.4417764671639747,1505
PXT_TO,27.88,22841746.5145,0.39849935206946685,1505
TVE_TO,13.41,22247820.362166665,0.37603275801492314,1254
AQN_TO,7.91,21363028.98016667,0.23133559243307983,1504
NXE_TO,14.44,21298071.5255,0.5494854436233338,1505
ARE_TO,43.45,21059309.565333333,0.5105764015470401,1254
GEI_TO,31.02,20643205.992000002,0.2389340229224118,1505
CPER,40.675,20599036.709250007,0.24916414310734514,1254
ATH_TO,10.63,19512358.258499995,0.40674880003653974,1505
CG_TO,32.59,19424083.351166666,0.566881411543768,1505
NPI_TO,20.84,19357835.0165,0.23223700902684266,1505
