sym,price,is_score,strategy,params,oos_score,wfe,oos_return,oos_maxdd,oos_trades,folds,tier
ARX_TO,33.33,6.298077454771915,rsi_meanrevert,"{'window': 21, 'oversold': 30}",12.374952465843714,1.3005563182845246,0.046701736048539395,-0.06246011565317611,12,7,robust
CRT_UN_TO,17.71,8.022533693762128,rsi_meanrevert,"{'window': 7, 'oversold': 20}",9.17984005298284,0.5899413374809447,0.030102800123934202,-0.05193855157278704,10,5,robust
ACB_TO,5.62,6.662475780870212,rsi_meanrevert,"{'window': 14, 'oversold': 20}",7.803856073024709,0.924185729853052,0.348641951902083,-0.1669372478918082,8,5,watch
CEW_TO,34.65,19.486216779751977,atr_channel,"{'ema_window': 10, 'k': 2.5}",6.4241736507155975,0.2396139845301924,0.013798104919109901,-0.05262467306975138,8,7,watch
VALE,15.095,7.352024524264285,bollinger,"{'window': 15, 'n_std': 2.5}",6.383762074175986,1.4856567852708438,0.031225293917868657,-0.09317505335395193,16,5,robust
DBC,31.26,11.080331184519329,bollinger,"{'window': 10, 'n_std': 2.5}",5.565062836161113,0.6222869136099813,0.0018244419107693588,-0.13234673200567415,7,5,watch
XEI_TO,39.7,12.212877473600935,atr_channel,"{'ema_window': 20, 'k': 1.5}",3.6224874773783333,0.1584005025748508,0.018107295296708324,-0.05972939317888615,16,7,watch
KEL_TO,10.73,7.653843879860836,bollinger,"{'window': 10, 'n_std': 1.5}",2.70610773661328,0.1980389878339174,0.06526269510733565,-0.15495160270968522,17,7,watch
XRE_TO,16.19,6.552278790904359,rsi_meanrevert,"{'window': 7, 'oversold': 25}",1.964073858385989,0.15246419368675532,-0.0003210997067469539,-0.08910944740508786,5,7,watch
XEG_TO,28.09,7.903676493473571,rsi_meanrevert,"{'window': 21, 'oversold': 35}",1.7395231949970988,0.1689523617850217,0.01722347204366797,-0.1077806122448981,14,7,watch
FIE_TO,11.18,21.909140952718477,atr_channel,"{'ema_window': 10, 'k': 2.0}",0.4123130457897787,0.013264086503310084,0.0016914082521649134,-0.027399643702818555,3,7,watch
XLU,42.73,12.692772669365953,bollinger,"{'window': 20, 'n_std': 2.5}",0.22801924956841763,0.015212098603597731,0.0048087670950768425,-0.05060403960991744,5,7,watch
ZWB_TO,30.29,9.175083241965355,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.0,0.0,0.0,0.0,0,7,watch
MTY_TO,36.24,6.888370334457564,rsi_meanrevert,"{'window': 7, 'oversold': 35}",-0.41900774937650553,-0.02544625506411522,-0.02171340076949897,-0.1220546811191714,4,5,watch
ZWC_TO,22.75,7.373926787877491,bollinger,"{'window': 20, 'n_std': 2.0}",-0.6016869212166993,-0.035594604527405115,-0.005327792140411252,-0.07479441407307064,6,7,watch
