asset_class,sym,strategy,sweep_param,sweep_value,fixed_kwargs,oos_score,wfe,oos_return,oos_maxdd,oos_trades,oos_win_rate,folds
equity,EQB.TO,bollinger,n_std,1.5,window=20,17.574421779127658,6.405819946517656,0.013980771726043704,-0.05483730626513439,11,0.6363636363636364,9
equity,EQB.TO,bollinger,n_std,2.0,window=20,18.142853059496108,10.455251727996906,0.01650661867890293,-0.05483730626513439,10,0.7,9
equity,EQB.TO,bollinger,n_std,2.5,window=20,1.5913530464138494,5.223172206595831,0.011734928130826402,-0.05483730626513439,8,0.625,9
equity,EQB.TO,bollinger,n_std,3.0,window=20,0.5008508268754304,0.0,0.0012716130785674167,-0.05483730626513439,6,0.5,9
equity,EQB.TO,bollinger,n_std,3.5,window=20,0.12856167964331483,0.0,-0.002868039131443586,-0.05483730626513439,4,0.25,9
equity,EQB.TO,rsi_meanrevert,oversold,20.0,window=14,2.0533250071888784,5.6518309740741906,0.012872757737700814,-0.05483730626513439,4,0.75,9
equity,EQB.TO,rsi_meanrevert,oversold,25.0,window=14,0.6514885439312275,2.306581080708091,0.011245369392710987,-0.05483730626513439,5,0.6,9
equity,EQB.TO,rsi_meanrevert,oversold,30.0,window=14,1.6361098141567287,0.4732754137517637,0.02415756592754565,-0.06589275843007181,6,0.8333333333333334,9
equity,EQB.TO,rsi_meanrevert,oversold,35.0,window=14,1.5598074907693755,0.7561174499310706,0.02248955064192458,-0.06589275843007192,6,0.8333333333333334,9
equity,EQB.TO,zscore_ou,entry_z,0.5,window=20,0.4533755585433901,0.4156006038104244,-0.008801740856828166,-0.11428002109305657,13,0.5384615384615384,9
equity,EQB.TO,zscore_ou,entry_z,1.0,window=20,62.65287837929241,19.686642040288373,-0.0029771309862965203,-0.11519198664440744,10,0.7,9
equity,EQB.TO,zscore_ou,entry_z,1.5,window=20,15.74634549682509,6.059691339749069,0.013608333708825218,-0.05483730626513439,9,0.7777777777777778,9
equity,EQB.TO,zscore_ou,entry_z,2.0,window=20,16.38147149747866,10.222052844748013,0.017368949333720723,-0.05483730626513439,8,0.875,9
equity,EQB.TO,zscore_ou,entry_z,2.5,window=20,-0.4032887386649116,-1.159017481813417,0.011339898184927385,-0.05483730626513439,6,0.8333333333333334,9
equity,EQB.TO,zscore_ou,entry_z,3.0,window=20,-1.2085062633923929,0.0,0.004976705785843416,-0.05483730626513439,4,0.75,9
equity,QQQ,bollinger,n_std,1.5,window=20,0.19233104575019827,0.1478066824813145,0.014024445254970331,-0.07581611313933301,26,0.5769230769230769,13
equity,QQQ,bollinger,n_std,2.0,window=20,-0.012099069526887373,-0.012541109321325572,0.008995938652077876,-0.09004656654441501,20,0.55,13
equity,QQQ,bollinger,n_std,2.5,window=20,1.1891140775104476,1.3638012342532297,0.004879011441017664,-0.07105066148645056,13,0.5384615384615384,13
equity,QQQ,bollinger,n_std,3.0,window=20,0.22266725497185044,0.6844928888000215,0.0068032133977493124,-0.07057939914163103,6,0.5,13
equity,QQQ,bollinger,n_std,3.5,window=20,-0.07237224726081762,0.0,-0.0042095660254894375,-0.052190138593229185,3,0.0,13
equity,QQQ,rsi_meanrevert,oversold,20.0,window=14,59.03847808837156,3.9655482097343677,-0.0040453116825281705,-0.16133168601712944,4,0.5,13
equity,QQQ,rsi_meanrevert,oversold,25.0,window=14,58.36164387617844,160.09019549627922,0.004961692044993928,-0.11921089078809544,6,0.6666666666666666,13
equity,QQQ,rsi_meanrevert,oversold,30.0,window=14,1.00021894604604,1.4331239078968014,0.010379404863478282,-0.0757933474464958,11,0.6363636363636364,13
equity,QQQ,rsi_meanrevert,oversold,35.0,window=14,1.3635180732068521,1.4131634746698183,0.011589523713581103,-0.0757933474464958,13,0.6923076923076923,13
equity,QQQ,zscore_ou,entry_z,0.5,window=20,-0.8863739263565882,-0.6904367688791582,0.012001252233133034,-0.08157791358396405,24,0.7083333333333334,13
equity,QQQ,zscore_ou,entry_z,1.0,window=20,-1.6163138463708635,-8.092586544738161,0.005975564536684548,-0.14211728979911842,27,0.6296296296296297,13
equity,QQQ,zscore_ou,entry_z,1.5,window=20,-0.5011427107066019,-0.4459027236918146,0.017530892591855883,-0.07884658994062788,23,0.6521739130434783,13
equity,QQQ,zscore_ou,entry_z,2.0,window=20,-1.1006076939025222,-1.370982574646125,0.0086539350161546,-0.07884658994062788,16,0.625,13
equity,QQQ,zscore_ou,entry_z,2.5,window=20,0.2477393746289289,0.3526044697189914,0.005103416012013396,-0.09839549730955377,11,0.7272727272727273,13
equity,QQQ,zscore_ou,entry_z,3.0,window=20,-0.7399193148466113,0.0,0.006846928434412933,-0.09028582013784381,5,0.8,13
equity,XIC.TO,bollinger,n_std,1.5,window=20,6.958922160350533,1.236524037207737,0.022495490763641757,-0.05060545105766712,19,0.8421052631578947,11
equity,XIC.TO,bollinger,n_std,2.0,window=20,5.568642816588615,0.7344970716746331,0.02250274986271673,-0.04006322845697197,15,0.8666666666666667,11
equity,XIC.TO,bollinger,n_std,2.5,window=20,3.3514458970289125,1.2157297539253344,0.01702102408042282,-0.03845122555165781,11,0.7272727272727273,11
equity,XIC.TO,bollinger,n_std,3.0,window=20,1.3254594534279063,1.2081243960637797,0.011863744915025641,-0.02933403805496837,5,0.8,11
equity,XIC.TO,bollinger,n_std,3.5,window=20,0.4052413922946314,0.0,0.0025607690136361006,-0.016554379210779624,3,0.6666666666666666,11
equity,XIC.TO,rsi_meanrevert,oversold,20.0,window=14,0.8192306635990476,7.915477239473172,0.005390265931175794,-0.016554379210779624,3,1.0,11
equity,XIC.TO,rsi_meanrevert,oversold,25.0,window=14,1.950402896203213,1.849939506172307,0.014339515624624351,-0.04726924305333735,5,1.0,11
equity,XIC.TO,rsi_meanrevert,oversold,30.0,window=14,4.512851001315277,1.9886616749083337,0.018644500877736604,-0.047269243053337684,8,1.0,11
equity,XIC.TO,rsi_meanrevert,oversold,35.0,window=14,8.103210521186078,1.5610878208517875,0.028726587606178914,-0.047269243053337795,13,1.0,11
equity,XIC.TO,zscore_ou,entry_z,0.5,window=20,24.498940668107878,2.828541112791362,0.0044541131987861915,-0.062486557804398046,20,0.7,11
equity,XIC.TO,zscore_ou,entry_z,1.0,window=20,1.8743807344724686,0.3572624321209601,0.01175805111855484,-0.04533136240453328,23,0.7391304347826086,11
equity,XIC.TO,zscore_ou,entry_z,1.5,window=20,6.903320378141231,1.0298891018458332,0.022662401272188215,-0.05060545105766712,17,0.8823529411764706,11
equity,XIC.TO,zscore_ou,entry_z,2.0,window=20,5.676631014144391,0.7277819280336292,0.02394593929779911,-0.04533136240453328,14,0.9285714285714286,11
equity,XIC.TO,zscore_ou,entry_z,2.5,window=20,3.3392116186011433,1.0819816310492938,0.016807011199441623,-0.03845122555165781,10,0.8,11
equity,XIC.TO,zscore_ou,entry_z,3.0,window=20,1.3254594534279063,1.0166876992104468,0.011917118855916004,-0.02933403805496837,4,1.0,11
